538,130048324,270,27429411
Alabama,AL,9,1037170
Alaska,AK,3,150848
Arizona,AZ,11,1161790
Arkansas,AR,6,539275
California,CA,55,6601080
Connecticut,CT,7,780321
Delaware,DE,3,206961
District of Columbia,DC,3,147128
Hawaii,HI,4,218580
Idaho,ID,4,333146
Indiana,IN,11,1331685
Kansas,KS,6,591386
Kentucky,KY,8,907922
Louisiana,LA,8,1007275
Maine,ME,4,362380
Mississippi,MS,6,642793
Montana,MT,3,245984
Nebraska,NE,5,402123
Nevada,NV,6,508333
New Hampshire,NH,4,359351
New Mexico,NM,5,393262
North Dakota,ND,3,162783
Oklahoma,OK,7,667437
Oregon,OR,7,910254
Rhode Island,RI,4,223025
South Carolina,SC,9,990759
South Dakota,SD,3,184136
Tennessee,TN,11,1239436
Texas,TX,38,3996926
Utah,UT,6,514394
Vermont,VT,3,150897
West Virginia,WV,5,335220
Wyoming,WY,3,125351
