538,81531584,270,17286663
Alabama,AL,9,591426
Alaska,AK,3,61788
Arizona,AZ,6,371360
Arkansas,AR,6,384699
Delaware,DE,3,117918
District of Columbia,DC,3,84416
Georgia,GA,12,733730
Hawaii,HI,4,145651
Idaho,ID,4,170467
Iowa,IA,8,639654
Kansas,KS,7,478923
Kentucky,KY,9,583572
Louisiana,LA,10,639220
Maine,ME,4,241605
Maryland,MD,10,716137
Mississippi,MS,7,384681
Montana,MT,4,164368
Nebraska,NE,5,303835
Nevada,NV,3,100939
New Hampshire,NH,4,169810
New Mexico,NM,4,208296
New York,NY,41,3262613
North Carolina,NC,13,838954
North Dakota,ND,3,148548
Oklahoma,OK,8,546126
Rhode Island,RI,4,205586
South Carolina,SC,8,401298
South Dakota,SD,4,150340
Tennessee,TN,10,738174
Texas,TX,26,2035943
Utah,UT,4,270600
Vermont,VT,3,93928
Virginia,VA,12,848548
West Virginia,WV,6,375338
Wyoming,WY,3,78172
