531,26765180,266,4338229
Alabama,AL,12,118820
Arizona,AZ,3,33282
Arkansas,AR,9,91819
Colorado,CO,6,146027
Connecticut,CT,7,182760
Delaware,DE,3,47438
Florida,FL,6,72841
Georgia,GA,14,74126
Idaho,ID,4,67813
Kansas,KS,10,285160
Louisiana,LA,10,63199
Maine,ME,6,98921
Mississippi,MS,10,41247
Montana,MT,4,89504
Nebraska,NE,8,191372
Nevada,NV,3,13598
New Hampshire,NH,4,79547
New Mexico,NM,3,52704
North Carolina,NC,12,269371
North Dakota,ND,5,102889
Oklahoma,OK,10,243306
Oregon,OR,5,119262
Pennsylvania,PA,38,926309
Rhode Island,RI,5,83991
South Carolina,SC,9,33405
South Dakota,SD,5,91119
Tennessee,TN,12,214314
Texas,TX,20,243321
Utah,UT,4,72915
Vermont,VT,4,44981
Virginia,VA,12,115517
Wyoming,WY,3,27351
