531,49902113,267,8177449
Alabama,AL,11,147110
Arizona,AZ,3,75020
Arkansas,AR,9,100372
Colorado,CO,6,274503
Connecticut,CT,8,390752
Delaware,DE,3,68188
Florida,FL,7,242747
Georgia,GA,12,156276
Idaho,ID,4,117585
Iowa,IA,11,607716
Kansas,KS,9,430149
Kentucky,KY,11,485032
Louisiana,LA,10,186153
Maine,ME,5,160421
Maryland,MD,8,330059
Mississippi,MS,9,87913
Montana,MT,4,123937
Nebraska,NE,7,307940
Nevada,NV,3,26588
New Hampshire,NH,4,117710
New Mexico,NM,3,91630
North Carolina,NC,13,411325
North Dakota,ND,4,140388
Oklahoma,OK,11,413107
Oregon,OR,5,240621
Rhode Island,RI,4,160575
South Carolina,SC,8,49917
South Dakota,SD,4,154214
Tennessee,TN,11,261412
Texas,TX,23,562266
Utah,UT,4,123910
Vermont,VT,3,71532
Virginia,VA,11,173304
Washington,WA,8,396917
West Virginia,WV,8,434039
Wyoming,WY,3,56121
