401,10060145,201,1951880
Alabama,AL,10,76813
Arkansas,AR,7,62890
California,CA,8,98495
Connecticut,CT,6,68629
Delaware,DE,3,14993
Florida,FL,4,29996
Georgia,GA,12,71806
Kentucky,KY,13,138241
Louisiana,LA,8,54700
Maine,ME,6,65246
Maryland,MD,8,93010
Massachusetts,MA,14,151692
Minnesota,MN,7,95009
Mississippi,MS,9,60345
Nebraska,NE,5,67102
Nevada,NV,3,6399
New Hampshire,NH,4,42294
North Carolina,NC,11,134179
Oregon,OR,3,26342
Rhode Island,RI,4,16386
South Carolina,SC,9,46407
Tennessee,TN,12,129990
Texas,TX,13,162653
Vermont,VT,4,29701
Virginia,VA,12,142489
West Virginia,WV,6,66073
